id,genres,Movie_ID,title,budget,original_language,popularity,release_date,revenue,runtime
16,Animation,862.0,Toy Story,30000000.0,en,21.946943,10/30/95,373554033.0,81.0
35,Comedy,862.0,Toy Story,30000000.0,en,21.946943,10/30/95,373554033.0,81.0
10751,Family,862.0,Toy Story,30000000.0,en,21.946943,10/30/95,373554033.0,81.0
12,Adventure,8844.0,Jumanji,65000000.0,en,17.015539,12/15/95,262797249.0,104.0
14,Fantasy,8844.0,Jumanji,65000000.0,en,17.015539,12/15/95,262797249.0,104.0
10751,Family,8844.0,Jumanji,65000000.0,en,17.015539,12/15/95,262797249.0,104.0
10749,Romance,15602.0,Grumpier Old Men,0.0,en,11.7129,12/22/95,0.0,101.0
35,Comedy,15602.0,Grumpier Old Men,0.0,en,11.7129,12/22/95,0.0,101.0
35,Comedy,31357.0,Waiting to Exhale,16000000.0,en,3.859495,12/22/95,81452156.0,127.0
18,Drama,31357.0,Waiting to Exhale,16000000.0,en,3.859495,12/22/95,81452156.0,127.0
10749,Romance,31357.0,Waiting to Exhale,16000000.0,en,3.859495,12/22/95,81452156.0,127.0
35,Comedy,11862.0,Father of the Bride Part II,0.0,en,8.387519000000001,2/10/95,76578911.0,106.0
28,Action,949.0,Heat,60000000.0,en,17.924927,12/15/95,187436818.0,170.0
80,Crime,949.0,Heat,60000000.0,en,17.924927,12/15/95,187436818.0,170.0
18,Drama,949.0,Heat,60000000.0,en,17.924927,12/15/95,187436818.0,170.0
53,Thriller,949.0,Heat,60000000.0,en,17.924927,12/15/95,187436818.0,170.0
35,Comedy,11860.0,Sabrina,58000000.0,en,6.677277,12/15/95,0.0,127.0
10749,Romance,11860.0,Sabrina,58000000.0,en,6.677277,12/15/95,0.0,127.0
28,Action,45325.0,Tom and Huck,0.0,en,2.5611610000000002,12/22/95,0.0,97.0
12,Adventure,45325.0,Tom and Huck,0.0,en,2.5611610000000002,12/22/95,0.0,97.0
18,Drama,45325.0,Tom and Huck,0.0,en,2.5611610000000002,12/22/95,0.0,97.0
10751,Family,45325.0,Tom and Huck,0.0,en,2.5611610000000002,12/22/95,0.0,97.0
28,Action,9091.0,Sudden Death,35000000.0,en,5.23158,12/22/95,64350171.0,106.0
12,Adventure,9091.0,Sudden Death,35000000.0,en,5.23158,12/22/95,64350171.0,106.0
53,Thriller,9091.0,Sudden Death,35000000.0,en,5.23158,12/22/95,64350171.0,106.0
12,Adventure,710.0,GoldenEye,58000000.0,en,14.686035999999998,11/16/95,352194034.0,130.0
28,Action,710.0,GoldenEye,58000000.0,en,14.686035999999998,11/16/95,352194034.0,130.0
53,Thriller,710.0,GoldenEye,58000000.0,en,14.686035999999998,11/16/95,352194034.0,130.0
35,Comedy,9087.0,The American President,62000000.0,en,6.318445,11/17/95,107879496.0,106.0
18,Drama,9087.0,The American President,62000000.0,en,6.318445,11/17/95,107879496.0,106.0
10749,Romance,9087.0,The American President,62000000.0,en,6.318445,11/17/95,107879496.0,106.0
35,Comedy,12110.0,Dracula: Dead and Loving It,0.0,en,5.430331,12/22/95,0.0,88.0
27,Horror,12110.0,Dracula: Dead and Loving It,0.0,en,5.430331,12/22/95,0.0,88.0
10751,Family,21032.0,Balto,0.0,en,12.140733,12/22/95,11348324.0,78.0
16,Animation,21032.0,Balto,0.0,en,12.140733,12/22/95,11348324.0,78.0
12,Adventure,21032.0,Balto,0.0,en,12.140733,12/22/95,11348324.0,78.0
36,History,10858.0,Nixon,44000000.0,en,5.092,12/22/95,13681765.0,192.0
18,Drama,10858.0,Nixon,44000000.0,en,5.092,12/22/95,13681765.0,192.0
28,Action,1408.0,Cutthroat Island,98000000.0,en,7.284477000000001,12/22/95,10017322.0,119.0
12,Adventure,1408.0,Cutthroat Island,98000000.0,en,7.284477000000001,12/22/95,10017322.0,119.0
18,Drama,524.0,Casino,52000000.0,en,10.137389,11/22/95,116112375.0,178.0
80,Crime,524.0,Casino,52000000.0,en,10.137389,11/22/95,116112375.0,178.0
18,Drama,4584.0,Sense and Sensibility,16500000.0,en,10.673167,12/13/95,135000000.0,136.0
10749,Romance,4584.0,Sense and Sensibility,16500000.0,en,10.673167,12/13/95,135000000.0,136.0
80,Crime,5.0,Four Rooms,4000000.0,en,9.026586,12/9/95,4300000.0,98.0
35,Comedy,5.0,Four Rooms,4000000.0,en,9.026586,12/9/95,4300000.0,98.0
80,Crime,9273.0,Ace Ventura: When Nature Calls,30000000.0,en,8.205447999999999,11/10/95,212385533.0,90.0
35,Comedy,9273.0,Ace Ventura: When Nature Calls,30000000.0,en,8.205447999999999,11/10/95,212385533.0,90.0
12,Adventure,9273.0,Ace Ventura: When Nature Calls,30000000.0,en,8.205447999999999,11/10/95,212385533.0,90.0
28,Action,11517.0,Money Train,60000000.0,en,7.337905999999999,11/21/95,35431113.0,103.0
35,Comedy,11517.0,Money Train,60000000.0,en,7.337905999999999,11/21/95,35431113.0,103.0
80,Crime,11517.0,Money Train,60000000.0,en,7.337905999999999,11/21/95,35431113.0,103.0
35,Comedy,8012.0,Get Shorty,30250000.0,en,12.669608,10/20/95,115101622.0,105.0
53,Thriller,8012.0,Get Shorty,30250000.0,en,12.669608,10/20/95,115101622.0,105.0
80,Crime,8012.0,Get Shorty,30250000.0,en,12.669608,10/20/95,115101622.0,105.0
18,Drama,1710.0,Copycat,0.0,en,10.701801,10/27/95,0.0,124.0
53,Thriller,1710.0,Copycat,0.0,en,10.701801,10/27/95,0.0,124.0
28,Action,9691.0,Assassins,50000000.0,en,11.065939,10/6/95,30303072.0,132.0
12,Adventure,9691.0,Assassins,50000000.0,en,11.065939,10/6/95,30303072.0,132.0
80,Crime,9691.0,Assassins,50000000.0,en,11.065939,10/6/95,30303072.0,132.0
53,Thriller,9691.0,Assassins,50000000.0,en,11.065939,10/6/95,30303072.0,132.0
18,Drama,12665.0,Powder,0.0,en,12.133094,10/27/95,0.0,111.0
14,Fantasy,12665.0,Powder,0.0,en,12.133094,10/27/95,0.0,111.0
878,Science Fiction,12665.0,Powder,0.0,en,12.133094,10/27/95,0.0,111.0
53,Thriller,12665.0,Powder,0.0,en,12.133094,10/27/95,0.0,111.0
18,Drama,451.0,Leaving Las Vegas,3600000.0,en,10.332025,10/27/95,49800000.0,112.0
10749,Romance,451.0,Leaving Las Vegas,3600000.0,en,10.332025,10/27/95,49800000.0,112.0
18,Drama,16420.0,Othello,0.0,en,1.8458990000000002,12/15/95,0.0,123.0
35,Comedy,9263.0,Now and Then,12000000.0,en,8.681325,10/20/95,27400000.0,100.0
18,Drama,9263.0,Now and Then,12000000.0,en,8.681325,10/20/95,27400000.0,100.0
10751,Family,9263.0,Now and Then,12000000.0,en,8.681325,10/20/95,27400000.0,100.0
18,Drama,17015.0,Persuasion,0.0,en,2.228434,9/27/95,0.0,104.0
10749,Romance,17015.0,Persuasion,0.0,en,2.228434,9/27/95,0.0,104.0
14,Fantasy,902.0,The City of Lost Children,18000000.0,fr,9.822422999999999,5/16/95,1738611.0,108.0
878,Science Fiction,902.0,The City of Lost Children,18000000.0,fr,9.822422999999999,5/16/95,1738611.0,108.0
12,Adventure,902.0,The City of Lost Children,18000000.0,fr,9.822422999999999,5/16/95,1738611.0,108.0
18,Drama,37557.0,Shanghai Triad,0.0,zh,1.1009149999999999,4/30/95,0.0,108.0
80,Crime,37557.0,Shanghai Triad,0.0,zh,1.1009149999999999,4/30/95,0.0,108.0
18,Drama,9909.0,Dangerous Minds,0.0,en,9.481338000000001,8/11/95,180000000.0,99.0
80,Crime,9909.0,Dangerous Minds,0.0,en,9.481338000000001,8/11/95,180000000.0,99.0
878,Science Fiction,63.0,Twelve Monkeys,29500000.0,en,12.297305,12/29/95,168840000.0,129.0
53,Thriller,63.0,Twelve Monkeys,29500000.0,en,12.297305,12/29/95,168840000.0,129.0
9648,Mystery,63.0,Twelve Monkeys,29500000.0,en,12.297305,12/29/95,168840000.0,129.0
10749,Romance,78802.0,Wings of Courage,0.0,fr,0.745542,9/18/96,0.0,50.0
12,Adventure,78802.0,Wings of Courage,0.0,fr,0.745542,9/18/96,0.0,50.0
14,Fantasy,9598.0,Babe,30000000.0,en,14.404764000000002,7/18/95,254134910.0,89.0
18,Drama,9598.0,Babe,30000000.0,en,14.404764000000002,7/18/95,254134910.0,89.0
